file_name,avg_softsweep_prob,avg_num_clones,degree,degree_variance,amplification,acc,connectivity,transitivity
d52_1,0.37528232019999996,8.5607,52.0,0.0,0.0,0.0,0.7354086513068118,0.0503438914027149
d10_4,0.35574519163999996,8.89966,10.0,0.0,0.0,0.0,0.4078041213828945,0.0080666666666666
d87_8,0.37652398102,8.51059,87.0,0.0,0.0,0.0,0.7973244451448213,0.0855028067361668
d92_8,0.3767961359000001,8.5219,92.0,0.0,0.0,0.0,0.8061030304207949,0.0903612040133779
d54_7,0.37524508566000003,8.54956,54.0,0.0,0.0,0.0,0.7403017496779071,0.0521907756813417
d41_7,0.37373992078,8.57622,41.0,0.0,0.0,0.0,0.7018337444529431,0.0389158536585365
d16_2,0.36468403016000006,8.74277,16.0,0.0,0.0,0.0,0.5228642276502278,0.0144
d73_2,0.37598897142000004,8.53821,73.0,0.0,0.0,0.0,0.778007225073881,0.0712910958904109
d66_2,0.37620227408000007,8.54128,66.0,0.0,0.0,0.0,0.7672398128011132,0.0641580419580419
d24_7,0.37005986187999995,8.65177,24.0,0.0,0.0,0.0,0.6097218334529103,0.0230869565217391
d31_7,0.37256606422,8.59075,31.0,0.0,0.0,0.0,0.6543097616087763,0.0293870967741935
d60_4,0.37596206624,8.53399,60.0,0.0,0.0,0.0,0.7525810298068077,0.0583542372881355
d75_4,0.37723062301999993,8.51382,75.0,0.0,0.0,0.0,0.7815476153698564,0.0728854054054054
d37_1,0.37357919972000003,8.57397,37.0,0.0,0.0,0.0,0.6863778492544212,0.0349324324324324
d22_1,0.37034480993999996,8.64749,22.0,0.0,0.0,0.0,0.5915416324912247,0.0202077922077922
d24_0,0.37026310606000007,8.62658,24.0,0.0,0.0,0.0,0.6032334812581605,0.022
d31_0,0.37156114419999997,8.62107,31.0,0.0,0.0,0.0,0.6537089429108927,0.0288387096774193
d73_5,0.37648877768,8.53319,73.0,0.0,0.0,0.0,0.7773727387926253,0.0713253424657534
d66_5,0.3759884358000001,8.52852,66.0,0.0,0.0,0.0,0.7687338991546839,0.0640979020979021
d37_6,0.37321205974000005,8.57885,37.0,0.0,0.0,0.0,0.6862427981950525,0.035036036036036
d22_6,0.36978677434000007,8.66536,22.0,0.0,0.0,0.0,0.5884709378186942,0.0196103896103896
d79_8,0.3768507762799999,8.53301,79.0,0.0,0.0,0.0,0.7868000134043313,0.0774479065238558
d60_3,0.3754404998599999,8.54755,60.0,0.0,0.0,0.0,0.7537287087148878,0.0582694915254237
d75_3,0.37644945698,8.52195,75.0,0.0,0.0,0.0,0.7826515181512256,0.0729643243243243
d93_8,0.37693614708,8.52365,93.0,0.0,0.0,0.0,0.8054692954176433,0.0909964936886395
d86_8,0.37661646252,8.5245,86.0,0.0,0.0,0.0,0.793911368236911,0.0838867305061559
d17_2,0.36579070133999997,8.70763,17.0,0.0,0.0,0.0,0.5353549779685728,0.0151323529411764
d40_7,0.37400962359999995,8.58606,40.0,0.0,0.0,0.0,0.6979737636041862,0.0382076923076923
d55_7,0.37517736904000004,8.56357,55.0,0.0,0.0,0.0,0.743978786979204,0.0531313131313131
d11_4,0.35921157364,8.83261,11.0,0.0,0.0,0.0,0.4310579742371613,0.0085636363636363
d53_1,0.37497151725999994,8.55022,53.0,0.0,0.0,0.0,0.7390165339853983,0.0508084179970972
d46_1,0.3747011689,8.56875,46.0,0.0,0.0,0.0,0.718758206978659,0.0437333333333333
d40_0,0.37426948651999997,8.57132,40.0,0.0,0.0,0.0,0.6970288739142535,0.0382192307692307
d55_0,0.37519992692,8.5501,55.0,0.0,0.0,0.0,0.7418715856165861,0.052810101010101
d17_5,0.36594845236,8.70335,17.0,0.0,0.0,0.0,0.5339654604545376,0.0145588235294117
d80_9,0.37657904194,8.53039,80.0,0.0,0.0,0.0,0.7895712147138738,0.0783816455696202
d95_9,0.37776117802000003,8.49945,95.0,0.0,0.0,0.0,0.8068489844730922,0.0932129899216125
d53_6,0.37528804105999997,8.5396,53.0,0.0,0.0,0.0,0.738388001971872,0.051333091436865
d46_6,0.37488826533999997,8.55112,46.0,0.0,0.0,0.0,0.7184816817785326,0.0439420289855072
d11_3,0.3585872368399999,8.84031,11.0,0.0,0.0,0.0,0.4327417184872465,0.0092727272727272
d84_2,0.37803217833999997,8.51479,84.0,0.0,0.0,0.0,0.7953542191385826,0.0817831325301204
d91_2,0.3768734671199999,8.52216,91.0,0.0,0.0,0.0,0.80342765360721,0.0893406593406593
